,date,color -- streamlit-generated,value -- streamlit-generated
0,2023-01-01T00:00:00.000,model,0
1,2023-01-02T00:00:00.000,model,0
2,2023-01-03T00:00:00.000,model,0
3,2023-01-04T00:00:00.000,model,0
4,2023-01-05T00:00:00.000,model,0
5,2023-01-06T00:00:00.000,model,0
6,2023-01-07T00:00:00.000,model,5231624.82051282
7,2023-01-08T00:00:00.000,model,6027480.128910483
8,2023-01-09T00:00:00.000,model,674040.344371265
9,2023-01-10T00:00:00.000,model,301561.5442419199
10,2023-01-11T00:00:00.000,model,139149.68932854076
11,2023-01-12T00:00:00.000,model,812973.6819249593
12,2023-01-13T00:00:00.000,model,44353434.625971965
13,2023-01-14T00:00:00.000,model,51309572.44848883
14,2023-01-15T00:00:00.000,model,21615393.100731593
15,2023-01-16T00:00:00.000,model,9892988.54990848
16,2023-01-17T00:00:00.000,model,4154416.2515453296
17,2023-01-18T00:00:00.000,model,2647271.995481476
18,2023-01-19T00:00:00.000,model,1123131.9622095625
19,2023-01-20T00:00:00.000,model,529174.9914295896
20,2023-01-21T00:00:00.000,model,250649.2845125834
21,2023-01-22T00:00:00.000,model,15816125.486122098
22,2023-01-23T00:00:00.000,model,10133490.871590808
23,2023-01-24T00:00:00.000,model,6690183.629698924
24,2023-01-25T00:00:00.000,model,2555253.088713046
25,2023-01-26T00:00:00.000,model,1161107.7720230771
26,2023-01-27T00:00:00.000,model,544968.0072087707
27,2023-01-28T00:00:00.000,model,259686.2768312146
28,2023-01-29T00:00:00.000,model,126109.51291586959
29,2023-01-30T00:00:00.000,model,1555649.2883395872
30,2023-01-31T00:00:00.000,model,476054.2547742565
31,2023-02-01T00:00:00.000,model,205835.40588574327
32,2023-02-02T00:00:00.000,model,92629.9951979215
33,2023-02-03T00:00:00.000,model,42919.891541153724
34,2023-02-04T00:00:00.000,model,20290.10502341698
35,2023-02-05T00:00:00.000,model,9719.958911949816
36,2023-02-06T00:00:00.000,model,5983789.608259499
37,2023-02-07T00:00:00.000,model,12276247.395334909
38,2023-02-08T00:00:00.000,model,3944348.34760085
39,2023-02-09T00:00:00.000,model,1730560.292495524
40,2023-02-10T00:00:00.000,model,13499830.250005173
41,2023-02-11T00:00:00.000,model,4220452.780325452
42,2023-02-12T00:00:00.000,model,19784126.119680297
43,2023-02-13T00:00:00.000,model,11195475.635564676
44,2023-02-14T00:00:00.000,model,4209314.511314581
45,2023-02-15T00:00:00.000,model,1884443.1666742233
46,2023-02-16T00:00:00.000,model,862662.3143484691
47,2023-02-17T00:00:00.000,model,411146.2509998715
48,2023-02-18T00:00:00.000,model,9168293.751460485
49,2023-02-19T00:00:00.000,model,31961723.155826095
50,2023-02-20T00:00:00.000,model,12086134.995532542
51,2023-02-21T00:00:00.000,model,4814758.992458934
52,2023-02-22T00:00:00.000,model,2137143.7264240542
53,2023-02-23T00:00:00.000,model,987379.365400461
54,2023-02-24T00:00:00.000,model,7193733.426337452
55,2023-02-25T00:00:00.000,model,3004790.8876062566
56,2023-02-26T00:00:00.000,model,1212396.8530018996
57,2023-02-27T00:00:00.000,model,542862.6452820781
58,2023-02-28T00:00:00.000,model,250639.1523815625
59,2023-03-01T00:00:00.000,model,22539453.3522942
60,2023-03-02T00:00:00.000,model,7899201.574889591
61,2023-03-03T00:00:00.000,model,3180212.460229296
62,2023-03-04T00:00:00.000,model,1409495.704155777
63,2023-03-05T00:00:00.000,model,641542.234134465
64,2023-03-06T00:00:00.000,model,299622.4964553281
65,2023-03-07T00:00:00.000,model,142395.06378194285
66,2023-03-08T00:00:00.000,model,68447.59340880162
67,2023-03-09T00:00:00.000,model,10496391.165442647
68,2023-03-10T00:00:00.000,model,3164332.7471874557
69,2023-03-11T00:00:00.000,model,1360984.8648363932
70,2023-03-12T00:00:00.000,model,13318069.162782583
71,2023-03-13T00:00:00.000,model,4122863.7519782092
72,2023-03-14T00:00:00.000,model,1788646.0156094078
73,2023-03-15T00:00:00.000,model,805141.2140320682
74,2023-03-16T00:00:00.000,model,375931.70270014927
75,2023-03-17T00:00:00.000,model,15128580.698448226
76,2023-03-18T00:00:00.000,model,14301342.99538283
77,2023-03-19T00:00:00.000,model,3579424.893213898
78,2023-03-20T00:00:00.000,model,2339478.109494996
79,2023-03-21T00:00:00.000,model,50292932.262652226
80,2023-03-22T00:00:00.000,model,21071938.29283088
81,2023-03-23T00:00:00.000,model,41575773.381861
82,2023-03-24T00:00:00.000,model,19339657.001037944
83,2023-03-25T00:00:00.000,model,9710743.360065004
84,2023-03-26T00:00:00.000,model,21944943.46242602
85,2023-03-27T00:00:00.000,model,7680071.853804841
86,2023-03-28T00:00:00.000,model,3296359.2428884422
87,2023-03-29T00:00:00.000,model,1489658.5412753166
88,2023-03-30T00:00:00.000,model,699881.8597550092
89,2023-03-31T00:00:00.000,model,331376.06631373963
90,2023-04-01T00:00:00.000,model,158904.45900386796
91,2023-04-02T00:00:00.000,model,76822.24086493596
92,2023-04-03T00:00:00.000,model,37330.61480973082
93,2023-04-04T00:00:00.000,model,18198.31629254176
94,2023-04-05T00:00:00.000,model,17198693.983677138
95,2023-04-06T00:00:00.000,model,17491223.956164494
96,2023-04-07T00:00:00.000,model,40331334.94144353
97,2023-04-08T00:00:00.000,model,15812737.94031883
98,2023-04-09T00:00:00.000,model,6280385.050838538
99,2023-04-10T00:00:00.000,model,2779900.4928549062
100,2023-04-11T00:00:00.000,model,1272832.1853800605
101,2023-04-12T00:00:00.000,model,30489531.199530054
102,2023-04-13T00:00:00.000,model,11441511.159871526
103,2023-04-14T00:00:00.000,model,35145429.64691558
104,2023-04-15T00:00:00.000,model,42686304.90517168
105,2023-04-16T00:00:00.000,model,17704066.26310377
106,2023-04-17T00:00:00.000,model,11475743.352845354
107,2023-04-18T00:00:00.000,model,3106650.649621566
108,2023-04-19T00:00:00.000,model,1439651.2790076658
109,2023-04-20T00:00:00.000,model,2915156.946736791
110,2023-04-21T00:00:00.000,model,996421.1414725628
111,2023-04-22T00:00:00.000,model,444304.5850467058
112,2023-04-23T00:00:00.000,model,204526.71439043083
113,2023-04-24T00:00:00.000,model,98100.45226391384
114,2023-04-25T00:00:00.000,model,49374549.66234487
115,2023-04-26T00:00:00.000,model,26620140.422926124
116,2023-04-27T00:00:00.000,model,9793378.4899949
117,2023-04-28T00:00:00.000,model,4178816.229705791
118,2023-04-29T00:00:00.000,model,100548264.8862497
119,2023-04-30T00:00:00.000,model,43577985.99982922
120,2023-05-01T00:00:00.000,model,17614271.78973737
121,2023-05-02T00:00:00.000,model,7239659.581463811
122,2023-05-03T00:00:00.000,model,3215865.4588967254
123,2023-05-04T00:00:00.000,model,9713973.060341185
124,2023-05-05T00:00:00.000,model,3199511.769521538
125,2023-05-06T00:00:00.000,model,105316173.62582317
126,2023-05-07T00:00:00.000,model,136151143.82625595
127,2023-05-08T00:00:00.000,model,63609502.00910355
128,2023-05-09T00:00:00.000,model,24442015.718862016
129,2023-05-10T00:00:00.000,model,10054688.83122586
130,2023-05-11T00:00:00.000,model,4470284.928278235
131,2023-05-12T00:00:00.000,model,2055950.2868537812
132,2023-05-13T00:00:00.000,model,27138603.598948393
133,2023-05-14T00:00:00.000,model,9980908.607132189
134,2023-05-15T00:00:00.000,model,3967784.5847410243
135,2023-05-16T00:00:00.000,model,1738540.8069499074
136,2023-05-17T00:00:00.000,model,790182.9035334963
137,2023-05-18T00:00:00.000,model,3365106.478085185
138,2023-05-19T00:00:00.000,model,30234610.548383486
139,2023-05-20T00:00:00.000,model,11344137.67702507
140,2023-05-21T00:00:00.000,model,4445924.070827701
141,2023-05-22T00:00:00.000,model,1961434.7740566079
142,2023-05-23T00:00:00.000,model,888299.8099373518
143,2023-05-24T00:00:00.000,model,413425.93806418666
144,2023-05-25T00:00:00.000,model,196026.41900991672
145,2023-05-26T00:00:00.000,model,94087.25812239878
146,2023-05-27T00:00:00.000,model,45513.05032223728
147,2023-05-28T00:00:00.000,model,22124.482810574827
148,2023-05-29T00:00:00.000,model,758381.3488651076
149,2023-05-30T00:00:00.000,model,63758687.23487563
150,2023-05-31T00:00:00.000,model,79395600.24863294
