Start	Simulations	Message	PAYOFF	Drainage investment amount	Dam investment amount	Levee investment amount	Number of house elevation	Number of migration	Number of planting trees	Annual Paddy dam investment
0	103	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
1	219	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
2	334	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
3	445	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
4	558	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
5	779	BEST	        -9.57208e+18		           0	 4.76837e-07	           0	           0	           0	           0	           0
6	892	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
7	1068	OK	        -7.78977e+19		           0	           0	           0	           0	           0	           0	  6.7203e+09
8	1180	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
9	1295	BEST	        -9.57208e+18		           0	           0	           0	           0	           0	           0	           0
