Start	Simulations	Message	PAYOFF	Drainage investment amount	Dam investment amount	Levee investment amount	Number of house elevation	Number of migration	Number of planting trees	Annual Paddy dam investment
0	1	BEST	        -1.02307e+19		           0	           0	           0	          10	          10	        1000	           0
1	104	OK	        -3.73772e+21		 3.19057e+09	 3.71203e+09	  6.3519e+09	     671.939	     762.494	     22368.6	 9.99428e+09
2	220	OK	        -1.19336e+21		 3.41071e+09	 7.10496e+09	 2.65412e+09	     553.211	     257.261	     22179.1	 1.72089e+09
3	335	OK	         -5.4548e+20		 8.76598e+09	 4.41795e+09	 7.70743e+09	     19.5815	     504.665	     97021.5	 1.38962e+09
4	446	OK	        -8.08854e+20		 4.44531e+09	 5.36282e+09	 2.05063e+09	     144.265	     478.196	     30819.3	 7.86295e+09
5	559	OK	        -2.32464e+21		 6.55375e+08	 4.13511e+09	 5.17203e+09	     975.124	     169.862	     90960.5	 4.28002e+09
6	780	OK	        -1.13942e+21		 9.05502e+09	 4.29941e+09	 9.02731e+09	     617.486	     167.901	     51556.7	 8.92979e+08
7	893	OK	        -3.23701e+21		 5.43454e+09	 4.01697e+09	 4.92576e+09	      579.15	     764.329	     65740.8	  6.5943e+09
8	1069	OK	        -4.48171e+21		  9.6186e+09	 9.87059e+09	 5.33092e+09	     945.877	     643.899	     154.048	 7.38763e+09
9	1181	OK	        -5.23339e+20		 5.84743e+09	 3.41528e+09	 9.10145e+09	     162.722	     344.342	     39804.2	 2.42517e+09
