Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	Upstream deep percolation ratio
0	544	OK	            -5477.53		    0.248441	    0.294677	    0.963565	         0.5	   0.0213663	    0.231691	    0.499915	   0.0361425	    0.705036
1	1064	BEST	            -5477.51		     0.17098	    0.286213	     0.72953	         0.5	   0.0291191	     0.33987	         0.5	   0.0349476	    0.680079
2	1676	BEST	            -5477.51		    0.243053	    0.284433	    0.601464	         0.5	   0.0217078	    0.362602	         0.5	   0.0309366	    0.828497
3	2135	BEST	            -5477.51		   0.0229459	    0.960811	    0.751781	         0.5	    0.117399	   0.0501352	         0.5	   0.0351047	   0.0411798
4	2616	OK	            -5477.51		    0.247116	     0.28449	    0.645272	         0.5	   0.0223026	    0.346194	         0.5	   0.0323309	    0.835539
5	3378	OK	            -5477.54		    0.207594	    0.894676	    0.683343	         0.5	   0.0352116	    0.275845	         0.5	   0.0301418	    0.791489
6	3831	OK	            -5477.55		    0.185588	    0.759042	    0.563382	         0.5	     0.04003	    0.320049	         0.5	   0.0301355	    0.801669
7	4402	OK	            -5477.51		    0.239178	    0.285603	    0.642134	         0.5	   0.0227308	    0.349807	         0.5	   0.0323408	    0.823832
8	5172	OK	            -5477.51		      0.1834	     0.28227	    0.562363	         0.5	   0.0276437	    0.393476	         0.5	    0.032036	    0.745976
9	5809	OK	            -5477.55		    0.194575	    0.656885	    0.627635	         0.5	   0.0379918	    0.297245	         0.5	   0.0304262	    0.793805
