Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	Upstream deep percolation ratio
0	583	BEST	            -5477.43		    0.279108	    0.242157	    0.711827	         0.5	   0.0255398	    0.468408	         0.5	   0.0313406	    0.557011
1	1059	BEST	            -5477.43		    0.272198	    0.240634	    0.815126	         0.5	   0.0263544	    0.443267	         0.5	   0.0326612	    0.540584
2	1890	OK	            -5477.43		    0.262004	    0.235798	     0.81512	    0.498873	   0.0268133	    0.449632	         0.5	   0.0325783	    0.531217
3	2375	OK	            -5477.45		    0.688863	    0.960811	     0.83274	         0.5	   0.0754327	   0.0419058	         0.5	   0.0182009	   0.0207019
4	2930	OK	            -5477.46		    0.028581	    0.218755	    0.633205	    0.442508	   0.0373326	    0.387293	         0.5	   0.0560203	    0.647057
5	3432	OK	            -5477.46		   0.0223803	    0.894676	    0.752711	    0.499927	   0.0637599	     0.11027	         0.5	   0.0135166	   0.0511394
6	4207	OK	            -5477.48		    0.254215	    0.759042	    0.699962	     0.49752	   0.0329368	    0.367219	         0.5	    0.024594	    0.568754
7	4879	OK	            -5477.43		    0.335034	     0.23811	     0.84293	    0.477437	    0.024395	    0.399964	    0.499883	    0.035367	    0.658062
8	5326	OK	            -5477.43		    0.276388	     0.24307	    0.702372	    0.481383	   0.0255781	    0.472156	         0.5	   0.0302828	     0.58241
9	5888	OK	            -5477.48		    0.248266	    0.656885	    0.657579	         0.5	   0.0320042	    0.380859	         0.5	   0.0231963	    0.562251
