Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	Upstream deep percolation ratio
0	1	BEST	            -5478.33		         0.5	         0.5	        0.97	         0.2	         0.2	         0.5	         0.2	         0.5	         0.5
1	584	OK	            -5477.59		    0.322676	    0.373779	    0.632486	     0.33925	    0.383622	    0.229212	     0.49972	     0.34425	    0.706286
2	1060	OK	            -5478.56		    0.270104	    0.552146	    0.262116	    0.118678	   0.0943237	    0.869066	     0.22648	    0.765328	   0.0291899
3	1891	OK	            -5478.85		    0.504571	    0.960811	    0.146183	     0.22782	    0.272778	    0.210962	   0.0806899	    0.478632	    0.312029
4	2376	OK	            -5477.94		    0.780569	   0.0742268	    0.415241	    0.263429	    0.487811	    0.176465	    0.455706	    0.429442	    0.897392
5	2931	OK	            -5478.33		    0.431342	    0.894676	    0.615136	   0.0922716	    0.262628	   0.0975119	    0.276293	    0.403663	    0.492724
6	3433	OK	            -5478.74		    0.577567	    0.759042	    0.654259	    0.333121	    0.481312	    0.977318	    0.271215	    0.936959	    0.641021
7	4208	OK	            -5478.48		   0.0115097	    0.733988	    0.583048	    0.177349	    0.455971	    0.169468	    0.178728	    0.400081	    0.247667
8	4880	OK	            -5478.68		    0.112741	    0.817933	   0.0593178	    0.130059	    0.147565	    0.821063	    0.181418	     0.26965	     0.62033
9	5327	OK	            -5478.84		    0.662755	    0.656885	    0.953444	    0.280418	    0.402499	    0.638187	    0.362829	    0.831377	     0.81014
