Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	Upstream deep percolation ratio
0	717	BEST	             -5477.5		    0.202619	    0.220613	    0.799493	         0.5	   0.0247934	    0.365039	         0.5	   0.0345713	    0.671513
1	1538	BEST	             -5477.5		    0.187365	     0.22335	    0.662729	         0.5	   0.0268072	    0.403377	         0.5	   0.0330995	    0.663594
2	2087	OK	             -5477.5		    0.183262	    0.223434	    0.670501	         0.5	   0.0259299	    0.402111	         0.5	   0.0327745	    0.660071
3	2590	OK	            -5477.52		   0.0201026	    0.960811	    0.706922	         0.5	   0.0948731	   0.0503607	         0.5	   0.0216005	   0.0347229
4	3145	OK	             -5477.5		     0.14757	    0.222508	    0.702632	    0.487241	   0.0314349	     0.39516	         0.5	   0.0357596	    0.636812
5	3625	OK	            -5477.55		    0.165022	    0.894676	    0.620711	    0.498303	     0.03619	    0.296053	         0.5	   0.0266297	    0.675889
6	4420	OK	            -5477.56		    0.147565	    0.759042	    0.609714	    0.471761	   0.0384209	    0.295327	         0.5	   0.0262194	    0.738266
7	5258	OK	             -5477.5		    0.176114	     0.22241	    0.736622	         0.5	   0.0268446	    0.385103	         0.5	   0.0341085	    0.637351
8	5938	OK	             -5477.5		    0.174459	    0.224034	     0.64013	         0.5	   0.0239397	    0.410791	         0.5	   0.0310205	    0.654857
9	6427	OK	            -5477.56		    0.179447	    0.656885	    0.620839	    0.487477	   0.0336982	     0.29297	         0.5	    0.025236	    0.733827
