Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Upstream middle flow ratio	Upstream deep percolation ratio
0	225	BEST	            -2738.79		    0.162227	    0.620432	         0.5	    0.414969	    0.626346
1	440	OK	            -2738.79		    0.180713	    0.546628	    0.497573	    0.432004	    0.652909
2	614	BEST	            -2738.79		    0.185562	     0.64196	         0.5	    0.406803	    0.647886
3	855	OK	            -2738.79		    0.187278	     0.66822	    0.491682	    0.399532	    0.664411
4	1055	OK	            -2738.79		    0.167054	    0.648139	         0.5	    0.406761	    0.624173
5	1309	OK	            -2738.79		    0.203038	    0.694657	    0.496913	    0.390083	    0.667907
6	1610	OK	             -2738.8		     0.29665	    0.849275	    0.450592	    0.289893	    0.926151
7	1919	OK	            -2738.79		     0.19687	     0.64894	    0.490488	    0.402467	    0.680907
8	2128	OK	            -2738.79		     0.18556	    0.641565	         0.5	    0.406962	    0.647885
9	2342	BEST	            -2738.79		    0.189252	    0.663718	    0.499523	    0.400464	    0.648598
