Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Upstream middle flow ratio	Upstream deep percolation ratio
0	1	BEST	             -2739.4		         0.5	        0.97	         0.2	         0.5	         0.5
1	226	OK	             -2738.9		    0.322676	    0.373779	    0.321243	      0.6685	    0.757244
2	441	OK	            -2739.34		    0.229212	     0.98944	    0.177125	    0.706286	    0.270104
3	615	OK	            -2739.83		    0.552146	    0.262116	    0.118678	    0.178647	    0.869066
4	856	OK	            -2739.53		    0.442959	    0.765328	    0.019595	    0.504571	    0.960811
5	1056	OK	            -2739.04		    0.146183	     0.44564	    0.272778	    0.210962	     0.15138
6	1310	OK	            -2739.04		    0.478632	    0.312029	    0.395284	   0.0742268	    0.415241
7	1611	OK	            -2739.96		    0.516859	    0.965621	   0.0932324	    0.901413	    0.429442
8	1920	OK	            -2739.36		    0.897392	    0.431342	    0.452338	    0.615136	    0.174543
9	2129	OK	            -2739.49		    0.515256	   0.0975119	    0.276293	    0.403663	    0.492724
