Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Upstream middle flow ratio	Upstream deep percolation ratio
0	216	BEST	            -746.885		   0.0751596	        0.99	    0.199657	    0.484667	    0.393587
1	478	BEST	            -725.327		   0.0596622	    0.526172	    0.227683	    0.577241	    0.433276
2	712	OK	             -740.74		   0.0714326	    0.987081	    0.178188	    0.526366	    0.394373
3	971	BEST	            -718.277		   0.0573782	    0.861566	    0.126366	    0.758723	    0.294782
4	1260	BEST	            -714.348		    0.059671	    0.758928	    0.183223	    0.613183	    0.409496
5	1730	OK	            -728.003		   0.0549677	     0.48402	    0.262108	    0.534137	    0.429028
6	2254	OK	            -741.938		   0.0554503	    0.364473	    0.287745	     0.51492	    0.423148
7	2520	OK	            -780.338		   0.0699279	    0.965621	    0.108774	    0.763092	    0.224868
8	2920	OK	            -739.162		   0.0519752	    0.431342	     0.20247	    0.657187	    0.418181
9	3356	OK	              -714.8		   0.0559529	    0.722348	    0.243393	    0.511643	    0.365427
