day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
0,5208918868.602739,44520000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5208916361.488588,44520000.0,2620618.742136,2295059.8716479996,2710295.89277328,0.0,0.0,0.0
2,5208913854.374437,44554425.89807472,385859.25917530013,1474279.6229788149,5667700.217145997,0.0,0.0,0.0
3,5208911347.260286,40121097.50261193,938064.0330010001,1543925.5667276194,1437731.4734785054,0.0,0.0,0.0
4,5208908840.146135,40144256.38611284,27231846.933420002,24612934.38239149,28663269.489494454,0.0,0.0,0.0
5,5208906333.031983,40513450.40184871,4469103.1473284215,12845978.184398487,11296084.65697555,0.0,0.0,0.0
6,5208903825.917832,40706140.07461469,5550203.690150999,11270003.13362893,10124114.078557385,0.0,0.0,0.0
7,5208901318.803682,40875190.12161912,2610239.1552810003,7909305.17314695,6364541.019009378,0.0,0.0,0.0
8,5208898811.689531,40993829.69921632,765502.2967127,4609204.308375617,3244338.333025806,0.0,0.0,0.0
9,5208896304.575379,41062967.76384196,10128903.386050003,11157510.443336532,11823915.264405038,0.0,0.0,0.0
10,5208893797.461228,41230330.42049201,36906202.004810005,37895165.01693083,41957089.590462506,0.0,0.0,0.0
11,5208891290.347078,41798757.89574597,8263057.593844485,20268185.96856798,18144480.127542526,0.0,0.0,0.0
12,5208888783.232926,42102780.68527449,6244247.458090001,15590268.869897325,13398081.502062945,0.0,0.0,0.0
13,5208886276.118775,42336634.71832295,515217.52884739917,8230527.918860558,5539574.5581587935,0.0,0.0,0.0
14,5208883769.004624,42460092.63710586,19390202.579020005,21082267.99433559,22464320.75427945,0.0,0.0,0.0
15,5208881261.890473,42776326.6570209,15033599.916437205,22393427.783402234,21926291.791419696,0.0,0.0,0.0
16,5208878754.776322,43112228.07377193,2147275.9425458647,12907537.645803727,9672680.074939262,0.0,0.0,0.0
17,5208876247.66217,43305841.13845899,7050889.122425,12609729.246499874,11264665.035964683,0.0,0.0,0.0
18,5208873740.54802,43494987.077156484,4350009.492582,10102603.550674643,8511547.064096376,0.0,0.0,0.0
19,5208871233.433869,43646526.1304166,2963964.0455899998,7634252.033540556,6232237.6902147215,0.0,0.0,0.0
20,5208868726.319718,43761039.91091971,2274365.052678,5795709.440109985,4710428.008630608,0.0,0.0,0.0
21,5208866219.205566,43847975.55252136,1528591.6291830004,4222306.410439292,3360892.4349304363,0.0,0.0,0.0
22,5208863712.091415,43911310.14867795,1774142.9570809999,3651518.3128830804,3119567.0602542083,0.0,0.0,0.0
23,5208861204.977265,43966082.923371196,1071563.5570166,2750276.5015724394,2244573.060680707,0.0,0.0,0.0
24,5208858697.863113,44007337.070894785,1681698.6325379997,2829790.371547536,2581832.225318317,0.0,0.0,0.0
25,5208856190.748962,44049783.926468,815662.2097990001,2115053.170880229,1746424.4047844396,0.0,0.0,0.0
26,5208853683.634811,44081509.7240312,796567.9157746001,1739056.6116269599,1477544.2217378344,0.0,0.0,0.0
27,5208851176.520661,44107595.573205605,11382972.828830004,10822686.737287765,12310839.811118735,0.0,0.0,0.0
28,5208848669.406509,44269935.87426492,631661.4504809994,5950444.821309052,4446515.055366141,0.0,0.0,0.0
29,5208846162.292358,44359192.546584554,413227.15131979994,3320188.340882482,2277978.5121524786,0.0,0.0,0.0
30,5208843655.178207,44408995.37169779,4195058.620868,5314078.605364626,5300169.705435206,0.0,0.0,0.0
31,5208841148.064056,44488706.55077826,3438357.7330119996,5653891.405033285,5307045.629072351,0.0,0.0,0.0
32,5208838640.949905,44573514.92185376,1838007.8258880002,4418427.397443486,8205135.936965629,0.0,0.0,0.0
33,5208836133.835754,40182439.84063003,1554688.5059729998,3550356.3805337,2998651.871718093,0.0,0.0,0.0
34,5208833626.721603,40235695.18633804,5234271.4074800005,6346822.165129967,6522572.997768508,0.0,0.0,0.0
35,5208831119.607452,40330897.51881499,22995.22937094979,3167121.082771359,2149763.646142551,0.0,0.0,0.0
36,5208828612.493301,40378404.33505656,18197774.39395,17492729.27869629,19757202.544151638,0.0,0.0,0.0
37,5208826105.379149,40640795.274237,3040235.403797183,10408073.1737815,8652090.223949302,0.0,0.0,0.0
38,5208823598.264998,40796916.371843725,179542.78398430021,5340444.44203119,3565897.2184411,0.0,0.0,0.0
39,5208821091.150847,40877023.038474195,3868187.93356,6028003.726684939,5558992.179071557,0.0,0.0,0.0
40,5208818584.036696,40967443.09437447,15744300.180884998,16789586.1746843,18208825.125144694,0.0,0.0,0.0
41,5208816076.922545,41219286.886994734,14177518.590620145,20454991.703007605,20234226.1386221,0.0,0.0,0.0
42,5208813569.808394,41526111.76253985,304697.5980858002,10473613.09666297,7197803.587427258,0.0,0.0,0.0
43,5208811062.694243,41683215.95898979,5879595.1034200005,10366437.608268041,9221355.384371135,0.0,0.0,0.0
44,5208808555.580092,41838712.52311381,2289056.115934,7166143.10215595,5641709.512267976,0.0,0.0,0.0
45,5208806048.46594,41946204.66964615,873357.7705989997,4325289.140103612,3090262.166619554,0.0,0.0,0.0
46,5208803541.35179,42011084.00674771,73115.25507466006,2193238.12736467,1333681.0538251959,0.0,0.0,0.0
47,5208801034.237639,42043982.57865818,9880477.06878,9727714.331448693,10814739.64100135,0.0,0.0,0.0
48,5208798527.123488,42189898.29362991,29338683.539710008,30539795.00170296,33703412.60676256,0.0,0.0,0.0
49,5208796020.009336,42647995.21865545,6190581.716083109,16761721.695469141,14651259.552664574,0.0,0.0,0.0
50,5208793512.895186,42899421.04408749,15903.876342180185,8361399.692367133,5655137.9204554865,0.0,0.0,0.0
51,5208791005.781035,43024842.039473,23297.281754249998,4163058.057094441,2511922.4035629136,0.0,0.0,0.0
52,5208788498.666883,43087287.91032942,6526325.632482999,7759608.199881274,7886939.798273126,0.0,0.0,0.0
53,5208785991.552732,43203682.03332764,44294082.5775,42658368.54379979,48381688.98040382,0.0,0.0,0.0
54,5208783484.438581,43843557.561484635,15337545.290783018,26903405.599320583,26054432.984241266,0.0,0.0,0.0
55,5208780977.32443,44247108.64547444,3752313.7882758304,16487071.615607975,13179857.560146067,0.0,0.0,0.0
56,5208778470.210279,44494414.71970856,4402010.351822001,12074885.675514853,9792025.95586612,0.0,0.0,0.0
57,5208775963.096128,44675538.00484128,2961516.87859,8607160.683567567,11263029.503204625,0.0,0.0,0.0
58,5208773455.981977,40337091.61461067,3537548.033268,7376392.493478242,6274548.957447015,0.0,0.0,0.0
59,5208770948.867826,40447737.50201285,349732.59646030003,3965406.997565884,2652418.5725558735,0.0,0.0,0.0
60,5208768441.753675,40507218.60697634,4090914.390898,5533187.0847154595,5366677.081284894,0.0,0.0,0.0
